Name,Phone Number,Address,Website,Maps Link
"Hikaw Small store","Retail Store","0981 237 6007","Mabini, pag-asa, Sta.Cruz, 4902 Marinduque, Philippines",""
"A&J Sari-sari Store","Sari-Sari Store","0967 336 0982","FXM9+VM7, Santa Cruz, Marinduque, Philippines",""
"Dalisay Antonio Glassware Store","Retail Store (Glassware)","0927 858 3180","Stall 23 Bldg. 1, Brgy, New Public Market, Santa Cruz, 4902 Marinduque, Philippines",""
"Sofia Conde Dry Goods","Retail Store (Dry Goods)","0970 479 1292","19, Public Market, Santa Cruz, Marinduque, Philippines",""
"Roby’s Bakeshoppe","Bakery/Shop","N/A","F2GH+P4W, Santa Cruz, Marinduque, Philippines",""
"J's vape shop","Retail Store (Vape Shop)","0977 614 1725","F2GH+MV9 Bgry. Maharlika, Dewey, 172, Santa Cruz, Marinduque, Philippines",""
"Torrijos Public Market","Check Map Link","Santa Cruz, Marinduque","N/A","https://maps.google.com/?cid=3206997784267552530"
"Shopee Xpress Marinduque","Check Map Link","Santa Cruz, Marinduque","N/A","https://maps.google.com/?cid=5220301407722365464"
"Cebuana Lhuillier Pawnshop - Sta Cruz Marinduque","Check Map Link","Santa Cruz, Marinduque","N/A","https://maps.google.com/?cid=17714621636076978490"
"Print Xpress Santa Cruz Marinduque","Check Map Link","Santa Cruz, Marinduque","N/A","https://maps.google.com/?cid=15237590710188953806"
